id,version,titulo,descricao,tipo,modulos,criadoPor,dataPublicacao,createdAt
1,1,Estrutura Inicial do ERP,"Criação da estrutura base do sistema ERP RH & DP com autenticação OAuth, banco de dados, e layout do dashboard com sidebar.",feature,"Sistema, Autenticação, Layout",Sistema,2026-02-10 13:00:00,2026-02-23 22:45:06
2,10,Módulo de Empresas e Colaboradores,"Implementação completa do CRUD de empresas (multi-tenant) e colaboradores com dados pessoais, documentos, endereço e dependentes.",feature,"Empresas, Colaboradores",Sistema,2026-02-12 17:00:00,2026-02-23 22:45:06
3,20,Módulo de Obras e Relógios de Ponto,"Cadastro de obras com vinculação de SNs (relógios de ponto), alocação de funcionários por obra, e controle de status.",feature,"Obras, Relógios de Ponto",Sistema,2026-02-14 13:00:00,2026-02-23 22:45:06
4,30,Fechamento de Ponto e Upload DIXI,"Módulo completo de fechamento de ponto com upload de arquivos DIXI, processamento automático, detecção de conflitos, e consolidação mensal.",feature,"Fechamento de Ponto, Upload DIXI",Sistema,2026-02-16 13:00:00,2026-02-23 22:45:06
5,40,Folha de Pagamento e Vale Alimentação,"Módulo de folha de pagamento com upload de planilhas, cálculos automáticos, e módulo de vale alimentação com controle de créditos.",feature,"Folha de Pagamento, Vale Alimentação",Sistema,2026-02-17 13:00:00,2026-02-23 22:45:06
6,50,Dashboards e Relatórios,"Implementação de dashboards interativos para Funcionários, Cartão de Ponto, Folha de Pagamento, Horas Extras, EPIs e Jurídico. Relatório Raio-X do Funcionário.",feature,"Dashboards, Relatórios",Sistema,2026-02-19 13:00:00,2026-02-23 22:45:06
7,55,Módulos de Gestão de Pessoas,"Implementação de Aviso Prévio, Férias, CIPA, Contratos PJ, Processos Trabalhistas e Controle de EPIs.",feature,"Aviso Prévio, Férias, CIPA, Contratos PJ, Processos Trabalhistas, EPIs",Sistema,2026-02-20 13:00:00,2026-02-23 22:45:06
8,60,Configurações e Painel de Controle,"Módulo de configurações com Painel de Controle (drag and drop), Regras de Ouro, Critérios do Sistema, Minha Senha, Notificações por E-mail, Contrato PJ e Limpeza de Dados.",feature,"Configurações, Painel de Controle",Sistema,2026-02-21 13:00:00,2026-02-23 22:45:06
9,61,Auditoria e Lixeira,Sistema de auditoria com log de todas as ações do sistema. Lixeira com soft delete e restauração de registros excluídos.,feature,"Auditoria, Lixeira",Sistema,2026-02-21 19:00:00,2026-02-23 22:45:06
10,62,"Setores, Funções e Contas Bancárias","Módulos de cadastro de Setores, Funções e Contas Bancárias com CRUD completo e vinculação por empresa.",feature,"Setores, Funções, Contas Bancárias",Sistema,2026-02-22 13:00:00,2026-02-23 22:45:06
